Market_Name,Date,Comm_Long,Comm_Short,Retail_Long,Retail_Short,Comm_Long_Pct_Change,Comm_Short_Pct_Change,Retail_Long_Pct_Change,Retail_Short_Pct_Change
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-02,164790,50704,20421,31822,1.67,13.84,14.82,6.52
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-09,151421,49811,21567,30836,-8.11,-1.76,5.61,-3.1
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-16,169334,52990,18142,33403,11.83,6.38,-15.88,8.32
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-23,174015,59139,16289,34926,2.76,11.6,-10.21,4.56
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-30,157629,65235,20613,29772,-9.42,10.31,26.55,-14.76
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-07,135023,62501,19859,27865,-14.34,-4.19,-3.66,-6.41
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-14,131596,54454,25881,25852,-2.54,-12.87,30.32,-7.22
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-21,115463,63870,28387,23747,-12.26,17.29,9.68,-8.14
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-28,112209,62849,24416,23860,-2.82,-1.6,-13.99,0.48
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-04,117000,70077,26878,22498,4.27,11.5,10.08,-5.71
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-11,125453,63410,27553,24811,7.22,-9.51,2.51,10.28
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-18,86558,50174,26006,20734,-31.0,-20.87,-5.61,-16.43
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-25,82549,63206,27370,23037,-4.63,25.97,5.24,11.11
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-02,88004,76711,26736,22193,6.61,21.37,-2.32,-3.66
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-09,89192,101324,30274,20555,1.35,32.09,13.23,-7.38
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-16,84403,112286,34164,17394,-5.37,10.82,12.85,-15.38
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-23,90711,94754,33944,21087,7.47,-15.61,-0.64,21.23
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-30,94451,61621,27269,28729,4.12,-34.97,-19.66,36.24
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-06,97019,52276,22601,27145,2.72,-15.17,-17.12,-5.51
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-13,94084,45603,24636,30501,-3.03,-12.76,9.0,12.36
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-20,89429,51063,25338,24819,-4.95,11.97,2.85,-18.63
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-27,87629,80407,31461,19524,-2.01,57.47,24.17,-21.33
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-03,87254,94066,31865,17189,-0.43,16.99,1.28,-11.96
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-10,114426,111806,30094,18672,31.14,18.86,-5.56,8.63
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-17,85069,53091,27547,19403,-25.66,-52.52,-8.46,3.91
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-24,58488,63132,35139,19247,-31.25,18.91,27.56,-0.8
