date,Open,High,Low,Close,Pair,Weekly_Return
2024-04-05,1.35436,1.36475,1.3478,1.35895,USD/CAD,
2024-04-12,1.35921,1.37873,1.35474,1.37713,USD/CAD,1.3377975642959505
2024-04-19,1.37768,1.38462,1.37235,1.37491,USD/CAD,-0.16120482452636198
2024-04-26,1.3753,1.37575,1.3633,1.36687,USD/CAD,-0.5847655482904335
2024-05-03,1.36641,1.37848,1.361,1.36856,USD/CAD,0.12364014134482737
2024-05-10,1.36812,1.37628,1.36335,1.3672,USD/CAD,-0.09937452504822364
2024-05-17,1.36707,1.36907,1.359,1.36109,USD/CAD,-0.4468987712112349
2024-05-24,1.36152,1.37435,1.35961,1.36663,USD/CAD,0.4070267212307854
2024-05-31,1.36662,1.37349,1.3615,1.36259,USD/CAD,-0.29561768730380633
2024-06-07,1.36303,1.37678,1.36029,1.37652,USD/CAD,1.0223177918522897
2024-06-14,1.37613,1.37918,1.36802,1.37344,USD/CAD,-0.22375265161421742
2024-06-21,1.37266,1.37645,1.36747,1.36932,USD/CAD,-0.2999767008387666
2024-06-28,1.36935,1.37343,1.36231,1.36773,USD/CAD,-0.11611602839366464
2024-07-05,1.3675,1.37554,1.36026,1.36416,USD/CAD,-0.2610164286810934
2024-07-12,1.36444,1.36485,1.35889,1.36347,USD/CAD,-0.050580577058412235
2024-07-19,1.36448,1.37478,1.36304,1.37332,USD/CAD,0.722421468752521
2024-07-26,1.37192,1.38491,1.37055,1.38335,USD/CAD,0.7303468965718096
2024-08-02,1.38332,1.38892,1.37874,1.38742,USD/CAD,0.2942133227310517
2024-08-09,1.38702,1.39468,1.37181,1.37292,USD/CAD,-1.045105303368854
2024-08-16,1.37275,1.37479,1.36804,1.36815,USD/CAD,-0.34743466480202656
2024-08-23,1.36815,1.3686,1.34988,1.35088,USD/CAD,-1.2622884917589339
2024-08-30,1.35069,1.35162,1.3441,1.34928,USD/CAD,-0.11844131232974231
2024-09-06,1.34879,1.35825,1.34549,1.35716,USD/CAD,0.5840151784655356
2024-09-13,1.35634,1.3623,1.35465,1.35895,USD/CAD,0.13189307082437374
2024-09-20,1.35923,1.36476,1.35331,1.35677,USD/CAD,-0.16041796975606593
2024-09-27,1.35628,1.35822,1.34196,1.35194,USD/CAD,-0.35599254110867395
2024-10-04,1.3511,1.35913,1.34724,1.35774,USD/CAD,0.4290131218841031
2024-10-11,1.35733,1.37838,1.35705,1.37642,USD/CAD,1.3758156937263344
2024-10-18,1.3759,1.38388,1.37472,1.38042,USD/CAD,0.2906089710989379
2024-10-25,1.3787,1.38977,1.3787,1.38942,USD/CAD,0.6519754857217563
2024-11-01,1.3889,1.39593,1.38768,1.39552,USD/CAD,0.439032114119553
2024-11-08,1.39241,1.39592,1.38229,1.39085,USD/CAD,-0.33464228387986017
2024-11-15,1.39173,1.41063,1.39046,1.40878,USD/CAD,1.289139734694622
2024-11-22,1.40922,1.41031,1.3931,1.39797,USD/CAD,-0.767330598106164
2024-11-29,1.39542,1.41787,1.39274,1.40052,USD/CAD,0.1824073477971755
2024-12-06,1.39935,1.41651,1.39911,1.41583,USD/CAD,1.0931653957101606
2024-12-13,1.41565,1.42454,1.40934,1.42334,USD/CAD,0.5304309133158824
2024-12-20,1.4234,1.44678,1.42166,1.43516,USD/CAD,0.8304410752174363
2024-12-27,1.4371,1.445,1.43483,1.44109,USD/CAD,0.4131943476685551
2025-01-03,1.44159,1.4464,1.43379,1.44488,USD/CAD,0.2629953715590272
2025-01-10,1.44449,1.44512,1.42795,1.44214,USD/CAD,-0.18963512540833838
2025-01-17,1.44239,1.44854,1.43022,1.44767,USD/CAD,0.3834579167071084
2025-01-24,1.44736,1.45172,1.4261,1.43454,USD/CAD,-0.9069746558262648
2025-01-31,1.43664,1.45954,1.43335,1.45497,USD/CAD,1.4241499017106696
2025-02-07,1.47225,1.4793,1.42698,1.42915,USD/CAD,-1.7746070365712074
2025-02-14,1.43553,1.43812,1.41507,1.41771,USD/CAD,-0.80047580729804
2025-02-21,1.41726,1.4246,1.41592,1.42233,USD/CAD,0.32587764775589
2025-02-28,1.42268,1.44725,1.41817,1.44565,USD/CAD,1.6395632518473313
2025-03-07,1.44522,1.45432,1.42395,1.43874,USD/CAD,-0.477985681181492
2025-03-14,1.43705,1.45214,1.4353,1.43659,USD/CAD,-0.14943631232883225
2025-03-21,1.43662,1.44019,1.42684,1.4351,USD/CAD,-0.10371783181004623
2025-03-28,1.43538,1.43544,1.42348,1.43148,USD/CAD,-0.25224723015817574
2025-04-04,1.40967,1.42573,1.40548,1.42259,USD/CAD,-0.6210355715762783
2024-04-05,0.90191,0.90956,0.89981,0.90227,USD/CHF,
2024-04-12,0.90122,0.91475,0.90031,0.91443,USD/CHF,1.3477118822525336
2024-04-19,0.91211,0.91521,0.90112,0.91019,USD/CHF,-0.46367682600089166
2024-04-26,0.91007,0.91569,0.9087,0.91445,USD/CHF,0.4680341467166116
2024-05-03,0.91355,0.92244,0.90065,0.90494,USD/CHF,-1.0399693805019483
2024-05-10,0.90494,0.90987,0.90359,0.9065,USD/CHF,0.17238711958804664
2024-05-17,0.90639,0.91026,0.89882,0.90911,USD/CHF,0.28792057363487
2024-05-24,0.90887,0.91586,0.90788,0.91474,USD/CHF,0.6192869949731117
2024-05-31,0.91448,0.91536,0.90025,0.90238,USD/CHF,-1.3512036207009692
2024-06-07,0.90245,0.90358,0.88813,0.89663,USD/CHF,-0.6372038387375545
2024-06-14,0.89657,0.89934,0.88932,0.89027,USD/CHF,-0.7093226860578006
2024-06-21,0.89023,0.89578,0.88269,0.89428,USD/CHF,0.4504251519201974
2024-06-28,0.89376,0.90099,0.89134,0.89868,USD/CHF,0.4920159234244492
2024-07-05,0.89748,0.90505,0.8954,0.8958,USD/CHF,-0.32047002269995906
2024-07-12,0.89617,0.9001,0.89154,0.89451,USD/CHF,-0.1440053583389167
2024-07-19,0.8945,0.8979,0.88201,0.8889,USD/CHF,-0.6271590032531749
2024-07-26,0.88807,0.89241,0.8777,0.88387,USD/CHF,-0.5658679266509092
2024-08-02,0.88395,0.88756,0.85738,0.85795,USD/CHF,-2.9325579553554304
2024-08-09,0.85844,0.86741,0.84325,0.86527,USD/CHF,0.8531965732268665
2024-08-16,0.86463,0.87486,0.86179,0.86624,USD/CHF,0.11210373640597737
2024-08-23,0.86566,0.86776,0.84706,0.84768,USD/CHF,-2.1425932766900635
2024-08-30,0.84812,0.85107,0.84003,0.84999,USD/CHF,0.27250849377122854
2024-09-06,0.84987,0.85378,0.83746,0.84327,USD/CHF,-0.7905975364416173
2024-09-13,0.84357,0.85497,0.84221,0.84902,USD/CHF,0.6818693894007799
2024-09-20,0.84761,0.8517,0.83909,0.85035,USD/CHF,0.15665119785164272
2024-09-27,0.84983,0.8518,0.8402,0.84041,USD/CHF,-1.1689304404069012
2024-10-04,0.84118,0.86079,0.84035,0.85811,USD/CHF,2.106114872502718
2024-10-11,0.85923,0.86155,0.85304,0.8573,USD/CHF,-0.09439349267577057
2024-10-18,0.85734,0.86697,0.85695,0.86479,USD/CHF,0.8736731599206848
2024-10-25,0.86476,0.86861,0.86332,0.86672,USD/CHF,0.22317556863518107
2024-11-01,0.86814,0.87116,0.86321,0.86987,USD/CHF,0.3634391729739672
2024-11-08,0.86751,0.87748,0.86147,0.87521,USD/CHF,0.6138848333659075
2024-11-15,0.87613,0.89179,0.8752,0.88761,USD/CHF,1.416802824464991
2024-11-22,0.88775,0.89578,0.88013,0.8924,USD/CHF,0.5396514234855321
2024-11-29,0.89152,0.892,0.87954,0.88396,USD/CHF,-0.9457642312864167
2024-12-06,0.88072,0.88901,0.87358,0.87859,USD/CHF,-0.6074935517444202
2024-12-13,0.87895,0.89462,0.87587,0.89267,USD/CHF,1.6025677506003921
2024-12-20,0.89223,0.90221,0.88984,0.893,USD/CHF,0.036967748440086545
2024-12-27,0.89364,0.90482,0.89199,0.90464,USD/CHF,1.30347144456886
